cdd	bg_count	bg_percentage
gnl|CDD|425993	59128	0.0010514440444447431
gnl|CDD|197478	59080	0.0010505904841326516
gnl|CDD|273605	58957	0.001048403235832917
gnl|CDD|425610	58750	0.0010447222569870225
gnl|CDD|273367	58583	0.001041752578401204
gnl|CDD|130375	58545	0.0010410768431541315
gnl|CDD|197951	58402	0.001038533944724359
gnl|CDD|180163	58118	0.0010334837128778173
gnl|CDD|100098	57856	0.0010288246961743179
gnl|CDD|100100	57742	0.0010267974904331005
gnl|CDD|433021	57443	0.0010214805209890303
gnl|CDD|237751	57324	0.0010193644027153034
gnl|CDD|273754	56525	0.0010051561800202798
gnl|CDD|224830	56303	0.0010012084635768565
gnl|CDD|224754	56233	0.0009999636881217232
gnl|CDD|198380	56223	0.000999785863056704
gnl|CDD|223312	55782	0.0009919437776893631
gnl|CDD|180033	55741	0.000991214694922785
gnl|CDD|184730	55726	0.0009909479573252564
gnl|CDD|259851	55654	0.000989667616857119
gnl|CDD|238361	55599	0.0009886895789995142
gnl|CDD|224638	55264	0.0009827324393213756
gnl|CDD|224514	55199	0.0009815765763987515
gnl|CDD|239510	54982	0.0009777177724878377
gnl|CDD|128696	54697	0.0009726497581347943
gnl|CDD|426926	54157	0.0009630472046237646
gnl|CDD|426100	54138	0.0009627093370002285
gnl|CDD|188014	54107	0.0009621580792986694
gnl|CDD|214366	54034	0.0009608599563240302
gnl|CDD|197903	53901	0.0009584948829592765
gnl|CDD|436067	53698	0.0009548850341393895
gnl|CDD|238042	53537	0.0009520220505925825
gnl|CDD|380338	53533	0.0009519509205665748
gnl|CDD|425988	53453	0.0009505283200464223
gnl|CDD|235464	53397	0.0009495324996823155
gnl|CDD|396179	53378	0.0009491946320587793
gnl|CDD|236066	53192	0.0009458870858494246
gnl|CDD|214370	53085	0.0009439843576537206
gnl|CDD|272882	53014	0.0009427217996920852
gnl|CDD|430775	52931	0.0009412458516524269
gnl|CDD|274226	52378	0.0009314121255568726
gnl|CDD|432824	52342	0.0009307719553228039
gnl|CDD|404174	52264	0.0009293849198156552
gnl|CDD|223289	51818	0.0009214539219158048
gnl|CDD|425599	51681	0.0009190177185250436
gnl|CDD|130027	51115	0.0009089528198449643
gnl|CDD|235532	51022	0.000907299046740287
gnl|CDD|272847	50857	0.0009043649331674724
gnl|CDD|180170	50849	0.0009042226731154571
gnl|CDD|426117	50772	0.0009028534201148102
gnl|CDD|223262	50692	0.0009014308195946577
gnl|CDD|272907	50690	0.0009013952545816539
gnl|CDD|426356	50681	0.0009012352120231368
gnl|CDD|177064	50671	0.0009010573869581177
gnl|CDD|212030	50413	0.0008964695002806257
gnl|CDD|238213	50282	0.0008941399919288759
gnl|CDD|197609	50255	0.0008936598642533245
gnl|CDD|239898	50081	0.0008905657081219926
gnl|CDD|427361	49875	0.0008869025117825999
gnl|CDD|395081	49718	0.0008841106582618006
gnl|CDD|173604	49500	0.0008802340718443849
gnl|CDD|429619	49428	0.0008789537313762476
gnl|CDD|239327	49313	0.0008769087431285283
gnl|CDD|215429	49233	0.0008754861426083757
gnl|CDD|188015	49173	0.0008744191922182614
gnl|CDD|234576	49136	0.0008737612394776908
gnl|CDD|223332	49020	0.0008716984687234696
gnl|CDD|129241	48894	0.0008694578729042294
gnl|CDD|225170	48858	0.0008688177026701607
gnl|CDD|428458	48816	0.0008680708373970806
gnl|CDD|179057	48775	0.0008673417546305025
gnl|CDD|178810	48671	0.0008654923739543042
gnl|CDD|433402	48636	0.0008648699862267374
gnl|CDD|223793	48431	0.0008612245723938466
gnl|CDD|395290	48249	0.0008579881562104995
gnl|CDD|198395	48238	0.0008577925486389786
gnl|CDD|179195	48210	0.0008572946384569251
gnl|CDD|426762	48175	0.0008566722507293584
gnl|CDD|223264	48053	0.0008545027849361258
gnl|CDD|226603	47994	0.0008534536170525133
gnl|CDD|225777	47936	0.0008524222316754026
gnl|CDD|178954	47827	0.0008504839384666948
gnl|CDD|409020	47641	0.0008471763922573402
gnl|CDD|225291	47551	0.0008455759666721685
gnl|CDD|224064	47279	0.0008407391249036499
gnl|CDD|433015	47131	0.0008381073139413677
gnl|CDD|234969	47126	0.0008380184014088582
gnl|CDD|425575	46923	0.0008344085525889711
gnl|CDD|235586	46902	0.0008340351199524311
gnl|CDD|214367	46864	0.0008333593847053586
gnl|CDD|426007	46755	0.0008314210914966508
gnl|CDD|425892	46718	0.0008307631387560803
gnl|CDD|181266	46651	0.0008295717108204525
gnl|CDD|425651	46640	0.0008293761032489315
gnl|CDD|340594	46502	0.0008269221173516684
gnl|CDD|272851	46104	0.0008198446797639095
gnl|CDD|178979	45962	0.0008173195638406387
gnl|CDD|433056	45929	0.0008167327411260758
gnl|CDD|273389	45902	0.0008162526134505243
gnl|CDD|426244	45880	0.0008158613983074823
gnl|CDD|433153	45657	0.0008118958993575572
gnl|CDD|404359	45493	0.0008089795682912445
gnl|CDD|430878	45436	0.0008079659654206358
gnl|CDD|411368	45385	0.0008070590575890385
gnl|CDD|427900	45208	0.000803911553938201
gnl|CDD|394993	45181	0.0008034314262626496
gnl|CDD|238094	45101	0.000802008825742497
gnl|CDD|426036	44877	0.0007980255442860698
gnl|CDD|425830	44718	0.0007951981257522667
gnl|CDD|211740	44713	0.0007951092132197572
gnl|CDD|223167	44675	0.0007944334779726847
gnl|CDD|238180	44412	0.0007897566787626833
gnl|CDD|223368	44245	0.0007867870001768648
gnl|CDD|214332	44063	0.0007835505839935178
gnl|CDD|315977	43984	0.0007821457659798671
gnl|CDD|404317	43789	0.0007786781772119953
