smORF_93	pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,bird gut,activated sludge,wastewater,soil,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,human respiratory tract,rat gut,marine,chicken gut
smORF_94	human associated,pig gut,cattle gut,plant associated,bird gut,planarian associated,wastewater,mouse gut,built environment,human gut,dog gut,rat gut,soil,anthropogenic,marine,chicken gut,cat gut
smORF_95	pig gut,human skin,mouse gut,built environment,human gut,primate gut,dog gut,wastewater,activated sludge,soil,bee gut,insect associated,deer gut,isolate,cat gut,human associated,lake associated,cattle gut,plant associated,air,water associated,human respiratory tract,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_96	pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,bird gut,wastewater,planarian associated,deer gut,isolate,cat gut,human associated,cattle gut,air,human urogenital tract,rat gut,marine,chicken gut,insect gut
smORF_97	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,fermented food,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,crustacean associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_98	pig gut,human skin,water associated,cattle gut,wastewater,mouse gut,built environment,human gut,dog gut,rat gut,soil,marine,chicken gut,cat gut,isolate
smORF_99	wastewater,human gut,dog gut,soil,marine,cat gut,isolate
smORF_100	pig gut,cattle gut,bird gut,wastewater,mouse gut,human gut,primate gut,dog gut,soil,isolate
smORF_101	pig gut,cattle gut,bird gut,wastewater,mouse gut,human gut,primate gut,dog gut,isolate
smORF_102	pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,anthropogenic,fermented food,rodent gut,deer gut,cat gut,isolate,cattle gut,goat gut,plant associated,goat rumen,cattle rumen,air,water associated,human respiratory tract,beatle gut,human mouth,rat gut,marine,chicken gut,insect gut,groundwater
smORF_103	pig gut,cattle gut,river associated,activated sludge,wastewater,mouse gut,built environment,human gut,dog gut,rat gut,chicken gut,rodent gut,isolate
smORF_104	human gut,isolate
smORF_105	pig gut,cattle gut,river associated,water associated,bird gut,activated sludge,wastewater,mouse gut,built environment,human gut,dog gut,rat gut,chicken gut,rodent gut,isolate
smORF_106	mouse gut,human gut
smORF_107	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,human respiratory tract,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_108	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,bee gut,fermented food,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,lake associated,plant associated,crustacean associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut,groundwater
