accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change	arc_p_fisher	arc_p_chi2
COG1930	125.0	11347	387.0	455582	0.011016127610822244	0.0008494628848374167	12.968344829957674	1.1406456460355307e-84	3.475998897223986e-227
COG4040	105.0	11347	1.0	455582	0.009253547193090685	2.194994534463609e-06	4215.74953732264	2.0019378593931434e-168	0.0
COG5625	93.0	11347	2.0	455582	0.00819599894245175	4.389989068927218e-06	1866.9747951000265	2.1491164832459821e-147	0.0
COG5487	85.0	11347	14927.0	455582	0.007490966775359126	0.032764683415938294	0.2286293043110914	3.1608811842507287e-72	3.5319363187519747e-51
COG4038	81.0	11347	2.0	455582	0.007138450691812814	4.389989068927218e-06	1626.0748215387327	4.2234229491045585e-128	0.0
COG4323	80.0	11347	438.0	455582	0.007050321670926236	0.0009614076060950608	7.333332528502092	4.3686143238805866e-39	2.3738159126873464e-81
COG2383	74.0	11347	41.0	455582	0.006521547545606768	8.999477591300798e-05	72.46584570542981	2.6814256116870604e-89	0.0
COG1006	71.0	11347	731.0	455582	0.006257160482947034	0.0016045410046928983	3.8996575747496247	3.3392160439622594e-20	1.1640665025278025e-31
COG1581	54.0	11347	5.0	455582	0.004758967127875209	1.0974972672318046e-05	433.6199524103287	2.6172126091612338e-81	0.0
COG1146	43.0	11347	1743.0	455582	0.003789547898122852	0.0038258754735700706	0.9905047679418275	1.0	1.0
COG2076	39.0	11347	1468.0	455582	0.00343703181457654	0.0032222519765925783	1.0666551962863824	0.6747757000617525	0.7530203049696589
COG4039	37.0	11347	3.0	455582	0.003260773772803384	6.584983603390827e-06	495.1832789871038	1.6109348433531678e-56	2.0936653243928078e-291
COG1849	33.0	11347	3.0	455582	0.0029082576892570725	6.584983603390827e-06	441.64995152903856	3.378697300049547e-50	8.239025745075008e-257
COG3462	31.0	11347	164.0	455582	0.0027319996474839165	0.0003599791036520319	7.589328435365961	1.698036478462349e-16	4.360100217161855e-33
COG1320	29.0	11347	966.0	455582	0.0025557416057107605	0.0021203647202918466	1.2053311306551964	0.302384604166536	0.3732575687786073
COG3847	23.0	11347	68744.0	455582	0.002026967480391293	0.15089270427716636	0.01343317087530004	0.0	0.0
COG3042	21.0	11347	658.0	455582	0.001850709438618137	0.001444306403677055	1.2813828380919878	0.2597264716307831	0.31853403709168954
COG1942	21.0	11347	37.0	455582	0.001850709438618137	8.121479777515354e-05	22.787835336879137	1.7312509805227857e-19	1.3658161836824096e-59
COG4818	21.0	11347	907.0	455582	0.001850709438618137	0.0019908600427584935	0.9296029850766572	0.8311237589147568	0.8224338347937397
COG2053	20.0	11347	1.0	455582	0.001762580417731559	2.194994534463609e-06	802.9999118709791	1.041291019220664e-31	1.5930918080402186e-159
COG2026	20.0	11347	338.0	455582	0.001762580417731559	0.0007419081526486999	2.375739384233666	0.0007379748574859579	0.00020861439548109672
COG1141	19.0	11347	645.0	455582	0.0016744513968449811	0.001415771474729028	1.1827130484921398	0.4478201239201324	0.5510497602754354
COG2888	17.0	11347	7.0	455582	0.0014981933550718251	1.5364961741245264e-05	97.50713215576175	1.0456154429834268e-22	7.912777844636741e-99
COG0695	16.0	11347	498.0	455582	0.0014100643341852471	0.0010931072781628773	1.2899596977847054	0.3128575659570417	0.3884519199916563
COG2260	15.0	11347	5.0	455582	0.0013219353132986693	1.0974972672318046e-05	120.44998678064688	8.336899467585351e-21	4.562608240672621e-92
