accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change	arc_p_fisher	arc_p_chi2
COG1254	3.0	11347.0	2941.0	191500.0	0.00026438706265973383	0.015357702349869452	0.017215274566249245	1.0210348030221154e-68	9.200733299751212e-39
COG0239	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf	0.00017499634982419084	4.646974276287645e-09
COG1918	3.0	11347.0	1415.0	191500.0	0.00026438706265973383	0.007389033942558747	0.03578100529988624	5.062973373436859e-31	1.460962786122231e-18
COG3668	3.0	11347.0	83.0	191500.0	0.00026438706265973383	0.000433420365535248	0.610001475895651	0.6345224075441218	0.538438362134064
COG1773	3.0	11347.0	840.0	191500.0	0.00026438706265973383	0.004386422976501305	0.06027395535635599	3.325584578435454e-17	5.5032954453491885e-11
COG2835	3.0	11347.0	1286.0	191500.0	0.00026438706265973383	0.0067154046997389034	0.039370235224991466	7.206677842137948e-28	7.319802216952724e-17
COG3197	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf	0.00017499634982419084	4.646974276287645e-09
COG2827	3.0	11347.0	656.0	191500.0	0.00026438706265973383	0.0034255874673629243	0.07718006478557779	7.980849029409123e-13	1.472404044417582e-08
COG0401	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf	0.00017499634982419084	4.646974276287645e-09
COG3152	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf	0.00017499634982419084	4.646974276287645e-09
COG2012	3.0	11347.0	3575.0	191500.0	0.00026438706265973383	0.01866840731070496	0.014162272027787142	2.2031057977573265e-84	3.1736868948929146e-47
COG1476	2.0	11347.0	2112.0	191500.0	0.0001762580417731559	0.011028720626631855	0.01598173058691257	1.4418158700209543e-49	3.309786864386338e-28
COG3360	2.0	11347.0	1498.0	191500.0	0.0001762580417731559	0.007822454308093994	0.022532319759385418	1.991188735162199e-34	4.2817942604458773e-20
COG0393	2.0	11347.0	82.0	191500.0	0.0001762580417731559	0.00042819843342036554	0.4116270121897482	0.3346491487222261	0.2963859168462172
COG2412	2.0	11347.0	2728.0	191500.0	0.0001762580417731559	0.014245430809399478	0.012372952712448444	4.702801966683603e-65	2.2388029812762802e-36
COG3369	2.0	11347.0	124.0	191500.0	0.0001762580417731559	0.0006475195822454308	0.2722049596738657	0.050022095308636466	0.07777183716291318
COG2929	2.0	11347.0	22.0	191500.0	0.0001762580417731559	0.00011488250652741515	1.5342461363436068	0.39160121766829553	0.8887526567818034
COG1687	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf	0.0031288792049675887	1.943491358597808e-05
COG3357	2.0	11347.0	251.0	191500.0	0.0001762580417731559	0.0013107049608355092	0.13447575697035596	9.957457218207709e-05	0.0014233561272907979
COG2863	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf	0.0031288792049675887	1.943491358597808e-05
COG2139	2.0	11347.0	2845.0	191500.0	0.0001762580417731559	0.01485639686684073	0.011864117750284483	6.069635929770303e-68	6.223032998194215e-38
COG5131	2.0	11347.0	964.0	191500.0	0.0001762580417731559	0.005033942558746736	0.035013915974646634	1.933635600797624e-21	4.729826699083331e-13
COG3815	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf	0.0031288792049675887	1.943491358597808e-05
COG0640	2.0	11347.0	411.0	191500.0	0.0001762580417731559	0.0021462140992167104	0.08212509732252883	3.617190404222349e-08	1.0051554175161653e-05
COG1358	2.0	11347.0	338.0	191500.0	0.0001762580417731559	0.0017650130548302872	0.09986217455490932	1.3284749575051744e-06	9.551015763853928e-05
COG4327	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf	0.0031288792049675887	1.943491358597808e-05
COG1872	2.0	11347.0	612.0	191500.0	0.0001762580417731559	0.003195822454308094	0.05515263888816888	4.701452698880085e-13	2.1292653216180155e-08
COG3296	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf	0.0031288792049675887	1.943491358597808e-05
COG1144	1.0	11347.0	1225.0	191500.0	8.812902088657794e-05	0.006396866840731071	0.013776904081452795	3.3214731851038815e-29	6.16304571553327e-17
COG4888	1.0	11347.0	65.0	191500.0	8.812902088657794e-05	0.0003394255874673629	0.2596416538427643	0.18513099407261202	0.24028035484570298
COG4545	1.0	11347.0	730.0	191500.0	8.812902088657794e-05	0.00381201044386423	0.02311877739695846	3.555804256161032e-17	2.1339119767267469e-10
COG4919	1.0	11347.0	320.0	191500.0	8.812902088657794e-05	0.001671018276762402	0.05273971093681149	3.147925323264074e-07	6.332284510913622e-05
COG2126	1.0	11347.0	633.0	191500.0	8.812902088657794e-05	0.0033054830287206267	0.026661465244517655	1.2252198005883975e-14	4.1245554323295315e-09
COG2174	1.0	11347.0	920.0	191500.0	8.812902088657794e-05	0.004804177545691906	0.018344247282369212	7.3602729928488415e-22	6.547864754121158e-13
COG3422	1.0	11347.0	438.0	191500.0	8.812902088657794e-05	0.002287206266318538	0.03853129566159744	5.032708212333085e-10	1.6359248988975423e-06
COG2167	1.0	11347.0	901.0	191500.0	8.812902088657794e-05	0.004704960835509139	0.018731084905415845	2.3533472715810536e-21	1.167214590935581e-12
COG0599	1.0	11347.0	15.0	191500.0	8.812902088657794e-05	7.83289817232376e-05	1.125113833318645	0.6019040098617249	1.0
COG3339	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG3277	1.0	11347.0	718.0	191500.0	8.812902088657794e-05	0.0037493472584856397	0.023505163648718214	7.750504817361183e-17	3.0771141082761053e-10
COG0607	1.0	11347.0	257.0	191500.0	8.812902088657794e-05	0.0013420365535248041	0.0656681225672361	9.310150304559374e-06	0.00045530549607556293
COG5272	1.0	11347.0	48.0	191500.0	8.812902088657794e-05	0.0002506527415143603	0.3515980729120766	0.5256953747645587	0.4403760323138136
COG1532	1.0	11347.0	514.0	191500.0	8.812902088657794e-05	0.0026840731070496083	0.03283406128361805	7.663624873829637e-12	1.5789297834108214e-07
COG0828	1.0	11347.0	213.0	191500.0	8.812902088657794e-05	0.0011122715404699739	0.07923336854356657	0.00013346352527993284	0.0018309084719159063
COG4855	1.0	11347.0	103.0	191500.0	8.812902088657794e-05	0.0005378590078328982	0.16385152912407452	0.03149313316264341	0.06535500081826633
COG1997	1.0	11347.0	957.0	191500.0	8.812902088657794e-05	0.0049973890339425585	0.01763501306142077	1.094673296775208e-22	2.1248450604385125e-13
COG3162	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG2892	1.0	11347.0	2000.0	191500.0	8.812902088657794e-05	0.010443864229765013	0.008438353749889839	1.0406126949687788e-48	3.585307830810277e-27
COG1669	1.0	11347.0	1672.0	191500.0	8.812902088657794e-05	0.008731070496083551	0.01009372458120794	2.3115555374483707e-40	7.760825532772151e-23
COG1958	1.0	11347.0	4455.0	191500.0	8.812902088657794e-05	0.023263707571801566	0.003788262065045943	8.704950808065989e-111	5.87510186158978e-60
COG0316	1.0	11347.0	96.0	191500.0	8.812902088657794e-05	0.0005013054830287206	0.1757990364560383	0.045104185430512846	0.08272765814236474
COG2092	1.0	11347.0	3998.0	191500.0	8.812902088657794e-05	0.02087728459530026	0.004221287518704271	3.6941810381124415e-99	8.400760654757593e-54
COG2880	1.0	11347.0	376.0	191500.0	8.812902088657794e-05	0.0019634464751958226	0.04488486037175446	1.5333316185848052e-08	1.1114487403341842e-05
COG1534	1.0	11347.0	931.0	191500.0	8.812902088657794e-05	0.004861618798955613	0.018127505370332628	5.250694233896764e-22	4.685690940825541e-13
COG1965	1.0	11347.0	3.0	191500.0	8.812902088657794e-05	1.566579634464752e-05	5.625569166593226	0.2056717732554873	0.5478048226039096
COG5606	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG1343	1.0	11347.0	990.0	191500.0	8.812902088657794e-05	0.005169712793733681	0.017047179292706743	1.5656004073226256e-23	7.789475506820848e-14
COG4272	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG0762	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG3269	1.0	11347.0	1805.0	191500.0	8.812902088657794e-05	0.009425587467362924	0.009349976454171566	8.866849074684775e-44	1.3577722386985582e-24
COG4828	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG2456	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG3293	1.0	11347.0	1.0	191500.0	8.812902088657794e-05	5.221932114882507e-06	16.876707499779677	0.10874854565003494	0.23237538306242625
COG4980	1.0	11347.0	1.0	191500.0	8.812902088657794e-05	5.221932114882507e-06	16.876707499779677	0.10874854565003494	0.23237538306242625
COG0425	1.0	11347.0	2825.0	191500.0	8.812902088657794e-05	0.014751958224543081	0.005974055752134399	2.4533968129504516e-69	4.073975028084097e-38
COG2337	1.0	11347.0	13.0	191500.0	8.812902088657794e-05	6.788511749347258e-05	1.2982082692138213	0.5533255575599677	1.0
COG0185	1.0	11347.0	145.0	191500.0	8.812902088657794e-05	0.0007571801566579635	0.11639108620537707	0.0035564030489189857	0.01630954632233181
COG4537	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG2919	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf	0.055938712428974975	0.053315297220553295
COG2002	1.0	11347.0	2726.0	191500.0	8.812902088657794e-05	0.014234986945169713	0.00619101522369027	5.83924381966752e-67	8.45010314699623e-37
COG1598	1.0	11347.0	2444.0	191500.0	8.812902088657794e-05	0.012762402088772846	0.006905363134116071	9.14057569556903e-60	4.703269815178871e-33
COG2442	1.0	11347.0	1092.0	191500.0	8.812902088657794e-05	0.005702349869451697	0.015454860347783587	4.745441822881134e-26	3.50702748469244e-15
COG1369	1.0	11347.0	401.0	191500.0	8.812902088657794e-05	0.002093994778067885	0.042086552368527874	5.349435038607092e-09	5.127029049724517e-06
COG2036	1.0	11347.0	115.0	191500.0	8.812902088657794e-05	0.0006005221932114883	0.1467539782589537	0.023027330972387534	0.04377457072553257
COG4009	1.0	11347.0	104.0	191500.0	8.812902088657794e-05	0.0005430809399477807	0.16227603365172766	0.03161724587314701	0.06319859896985398
COG1724	0.0	11347.0	3206.0	191500.0	0.0	0.016741514360313316	0.0	2.7745038760682124e-81	1.1980707146558338e-43
COG1998	0.0	11347.0	2933.0	191500.0	0.0	0.015315926892950391	0.0	2.156810568025532e-74	5.236415610448789e-40
COG1383	0.0	11347.0	2907.0	191500.0	0.0	0.015180156657963446	0.0	1.0617148349688056e-73	1.1623296550001684e-39
COG2093	0.0	11347.0	2891.0	191500.0	0.0	0.015096605744125326	0.0	2.328781994473107e-73	1.898445124414388e-39
COG1761	0.0	11347.0	2877.0	191500.0	0.0	0.015023498694516971	0.0	8.439388000029804e-73	2.916156006315968e-39
COG0255	0.0	11347.0	2772.0	191500.0	0.0	0.014475195822454308	0.0	2.9591255157311237e-70	7.281893623621934e-38
COG0089	0.0	11347.0	2644.0	191500.0	0.0	0.013806788511749346	0.0	5.539560174429736e-67	3.6663112172048554e-36
COG1698	0.0	11347.0	2470.0	191500.0	0.0	0.012898172323759791	0.0	1.7130862686638833e-62	7.502635660481559e-34
COG2051	0.0	11347.0	2247.0	191500.0	0.0	0.011733681462140991	0.0	7.923965425855376e-57	6.8036974236797e-31
COG1828	0.0	11347.0	1803.0	191500.0	0.0	0.009415143603133159	0.0	9.284472229112331e-46	5.11270223777849e-25
COG2451	0.0	11347.0	1649.0	191500.0	0.0	0.008610966057441253	0.0	7.996204656705452e-42	5.53899056816147e-23
COG1996	0.0	11347.0	1564.0	191500.0	0.0	0.00816710182767624	0.0	8.540881630192502e-40	7.344724429344279e-22
COG1631	0.0	11347.0	1394.0	191500.0	0.0	0.0072793733681462145	0.0	2.504805959043629e-35	1.2888594172789301e-19
COG0721	0.0	11347.0	1361.0	191500.0	0.0	0.007107049608355091	0.0	1.0960648730913904e-34	3.513652081931197e-19
COG1400	0.0	11347.0	1340.0	191500.0	0.0	0.0069973890339425585	0.0	5.767684047325533e-34	6.651503857296547e-19
COG2157	0.0	11347.0	1208.0	191500.0	0.0	0.006308093994778068	0.0	9.034704170761468e-31	3.6730438372056527e-17
COG2097	0.0	11347.0	1122.0	191500.0	0.0	0.005859007832898173	0.0	1.5101698712256498e-28	5.013576016930556e-16
COG0199	0.0	11347.0	1085.0	191500.0	0.0	0.00566579634464752	0.0	1.0232822047784613e-27	1.5437952447534514e-15
COG4274	0.0	11347.0	1027.0	191500.0	0.0	0.005362924281984334	0.0	3.572175220024271e-26	9.003227665256422e-15
