accession	bac_not_trans_count	bac_not_trans_all
COG2051	124	4292445
COG4416	124	4292445
COG1588	123	4292445
COG2892	120	4292445
COG4367	120	4292445
COG1581	119	4292445
COG0720	116	4292445
COG1430	113	4292445
COG2157	109	4292445
COG1433	109	4292445
COG4859	109	4292445
COG3370	106	4292445
COG4517	105	4292445
COG4043	101	4292445
COG2451	100	4292445
COG5565	98	4292445
COG1504	98	4292445
COG2412	98	4292445
COG3794	97	4292445
COG5194	96	4292445
COG2018	96	4292445
COG3761	95	4292445
COG1558	94	4292445
COG5447	92	4292445
COG2923	92	4292445
COG1990	91	4292445
COG3215	91	4292445
COG1943	90	4292445
COG2919	90	4292445
COG3744	89	4292445
COG1539	89	4292445
COG5561	89	4292445
COG2764	89	4292445
COG4551	88	4292445
COG2075	86	4292445
COG5546	85	4292445
COG4802	84	4292445
COG4317	81	4292445
COG2260	81	4292445
COG4810	78	4292445
COG5645	69	4292445
COG3628	68	4292445
COG0736	66	4292445
COG0727	65	4292445
COG3098	63	4292445
COG1687	62	4292445
COG2167	62	4292445
COG3339	61	4292445
COG4718	59	4292445
COG5569	58	4292445
COG2445	57	4292445
COG3293	57	4292445
COG2105	57	4292445
COG4392	57	4292445
COG4980	57	4292445
COG3466	56	4292445
COG3277	54	4292445
COG1487	53	4292445
COG4911	53	4292445
COG2097	52	4292445
COG1698	52	4292445
COG2198	51	4292445
COG1725	50	4292445
COG4538	50	4292445
COG5227	50	4292445
COG4570	49	4292445
COG4817	48	4292445
COG5471	46	4292445
COG2158	44	4292445
COG0222	43	4292445
COG1569	43	4292445
COG5544	42	4292445
COG0824	42	4292445
COG4933	41	4292445
COG1631	41	4292445
COG2888	40	4292445
COG4357	40	4292445
COG1334	39	4292445
COG3877	39	4292445
COG3783	38	4292445
COG4737	37	4292445
COG3763	36	4292445
COG4746	36	4292445
COG5051	36	4292445
COG4919	35	4292445
COG5442	34	4292445
COG3791	34	4292445
COG4994	32	4292445
COG0662	32	4292445
COG1460	31	4292445
COG1445	31	4292445
COG2174	31	4292445
COG1846	31	4292445
COG1369	30	4292445
COG3801	30	4292445
COG4837	29	4292445
COG0099	28	4292445
COG3895	27	4292445
COG1727	27	4292445
COG3564	26	4292445
COG3561	26	4292445
COG0394	26	4292445
COG5510	26	4292445
COG5499	24	4292445
COG4873	24	4292445
COG2207	23	4292445
COG3171	22	4292445
COG5439	22	4292445
COG3242	22	4292445
COG5294	21	4292445
COG2852	21	4292445
COG3097	21	4292445
COG2926	21	4292445
COG4390	21	4292445
COG1930	19	4292445
COG3679	19	4292445
COG4830	19	4292445
COG0537	19	4292445
COG0432	19	4292445
COG3042	18	4292445
COG3565	18	4292445
COG1225	18	4292445
COG3197	18	4292445
COG4888	17	4292445
COG0690	16	4292445
COG2058	16	4292445
COG5352	16	4292445
COG4828	16	4292445
COG1490	15	4292445
COG4009	15	4292445
COG1594	15	4292445
COG4707	15	4292445
COG3742	15	4292445
COG4922	15	4292445
COG2402	14	4292445
COG1848	14	4292445
COG5649	14	4292445
COG2004	14	4292445
COG0853	14	4292445
COG5584	13	4292445
COG4530	13	4292445
COG3018	12	4292445
COG5045	12	4292445
COG2126	12	4292445
COG2250	12	4292445
COG1516	12	4292445
COG3865	12	4292445
COG4319	12	4292445
COG2991	11	4292445
COG3631	11	4292445
COG1764	11	4292445
COG4537	11	4292445
COG3388	11	4292445
COG2372	11	4292445
COG0386	10	4292445
COG2210	10	4292445
COG3654	10	4292445
COG4352	10	4292445
COG5573	10	4292445
COG4113	10	4292445
COG4275	10	4292445
COG3925	10	4292445
COG4901	9	4292445
COG3558	9	4292445
COG0401	9	4292445
COG5496	9	4292445
COG3099	9	4292445
