domain,phylum,transmembrane,count
d__Bacteria,p__Myxococcota_B,N,9784
d__Bacteria,p__Myxococcota_B,Y,1780
d__Bacteria,p__NPL-UPA2,N,389
d__Bacteria,p__NPL-UPA2,Y,49
d__Bacteria,p__Nitrospinae,N,1
d__Bacteria,p__Nitrospinota,N,143842
d__Bacteria,p__Nitrospinota,Y,23534
d__Bacteria,p__Nitrospinota_A,N,23226
d__Bacteria,p__Nitrospinota_A,Y,3338
d__Bacteria,p__Nitrospinota_B,N,6665
d__Bacteria,p__Nitrospinota_B,Y,769
d__Bacteria,p__Nitrospirae,N,717
d__Bacteria,p__Nitrospirae,Y,202
d__Bacteria,p__Nitrospirota,N,814552
d__Bacteria,p__Nitrospirota,Y,114645
d__Bacteria,p__OLB16,N,16103
d__Bacteria,p__OLB16,Y,1915
d__Bacteria,p__Omnitrophota,N,246687
d__Bacteria,p__Omnitrophota,Y,46354
d__Bacteria,p__Patescibacteria,N,2180101
d__Bacteria,p__Patescibacteria,Y,451649
d__Bacteria,p__Planctomycetes,N,880
d__Bacteria,p__Planctomycetes,Y,333
d__Bacteria,p__Planctomycetota,N,4184893
d__Bacteria,p__Planctomycetota,Y,625774
d__Bacteria,p__Poribacteria,N,92408
d__Bacteria,p__Poribacteria,Y,13746
d__Bacteria,p__Proteobacteria,N,45404646
d__Bacteria,p__Proteobacteria,Y,8579147
d__Bacteria,p__RBG-13-66-14,N,2095
d__Bacteria,p__RBG-13-66-14,Y,433
d__Bacteria,p__RUG730,N,314
d__Bacteria,p__RUG730,Y,55
d__Bacteria,p__Riflebacteria,N,45743
d__Bacteria,p__Riflebacteria,Y,6086
d__Bacteria,p__SAR324,N,404926
d__Bacteria,p__SAR324,Y,67180
d__Bacteria,p__SLNR01,N,479
d__Bacteria,p__SLNR01,Y,92
d__Bacteria,p__SM23-31,N,13252
d__Bacteria,p__SM23-31,Y,1882
d__Bacteria,p__SURF-8,N,6077
d__Bacteria,p__SURF-8,Y,1068
d__Bacteria,p__SZUA-182,N,2960
d__Bacteria,p__SZUA-182,Y,354
d__Bacteria,p__SZUA-79,N,930
d__Bacteria,p__SZUA-79,Y,130
d__Bacteria,p__Schekmanbacteria,N,9382
d__Bacteria,p__Schekmanbacteria,Y,1309
d__Bacteria,p__Spirochaetes,N,8733
d__Bacteria,p__Spirochaetes,Y,1523
d__Bacteria,p__Spirochaetota,N,555377
d__Bacteria,p__Spirochaetota,Y,89637
d__Bacteria,p__Sumerlaeota,N,15162
d__Bacteria,p__Sumerlaeota,Y,2370
d__Bacteria,p__Synergistetes,N,130
d__Bacteria,p__Synergistetes,Y,27
d__Bacteria,p__Synergistota,N,147241
d__Bacteria,p__Synergistota,Y,25879
d__Bacteria,p__T1SED10-198M,N,596
d__Bacteria,p__T1SED10-198M,Y,69
d__Bacteria,p__TA06,N,5999
d__Bacteria,p__TA06,Y,824
d__Bacteria,p__TA06_A,N,3247
d__Bacteria,p__TA06_A,Y,605
d__Bacteria,p__Tectomicrobia,N,196178
d__Bacteria,p__Tectomicrobia,Y,18026
d__Bacteria,p__Tenericutes,N,2207
d__Bacteria,p__Tenericutes,Y,643
d__Bacteria,p__Thermodesulfobacteria,N,47
d__Bacteria,p__Thermodesulfobacteria,Y,9
d__Bacteria,p__Thermodesulfobiota,N,403
d__Bacteria,p__Thermodesulfobiota,Y,72
d__Bacteria,p__Thermosulfidibacterota,N,1779
d__Bacteria,p__Thermosulfidibacterota,Y,253
d__Bacteria,p__Thermotogae,N,920
d__Bacteria,p__Thermotogae,Y,245
d__Bacteria,p__Thermotogota,N,42193
d__Bacteria,p__Thermotogota,Y,7094
d__Bacteria,p__UBA10199,N,23607
d__Bacteria,p__UBA10199,Y,3522
d__Bacteria,p__UBA2233,N,1288
d__Bacteria,p__UBA2233,Y,225
d__Bacteria,p__UBA3054,N,4998
d__Bacteria,p__UBA3054,Y,881
d__Bacteria,p__UBA6262,N,1197
d__Bacteria,p__UBA6262,Y,248
d__Bacteria,p__UBA9089,N,5248
d__Bacteria,p__UBA9089,Y,882
d__Bacteria,p__UBP13,N,1745
d__Bacteria,p__UBP13,Y,243
d__Bacteria,p__UBP14,N,5783
d__Bacteria,p__UBP14,Y,1021
d__Bacteria,p__UBP15,N,2816
d__Bacteria,p__UBP15,Y,479
d__Bacteria,p__UBP17,N,4245
d__Bacteria,p__UBP17,Y,542
d__Bacteria,p__UBP18,N,492
