accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change
COG5272	1.0	11347.0	48.0	191500.0	8.812902088657794e-05	0.0002506527415143603	0.3515980729120766
COG1532	1.0	11347.0	514.0	191500.0	8.812902088657794e-05	0.0026840731070496083	0.03283406128361805
COG0828	1.0	11347.0	213.0	191500.0	8.812902088657794e-05	0.0011122715404699739	0.07923336854356657
COG4855	1.0	11347.0	103.0	191500.0	8.812902088657794e-05	0.0005378590078328982	0.16385152912407452
COG1997	1.0	11347.0	957.0	191500.0	8.812902088657794e-05	0.0049973890339425585	0.01763501306142077
COG3162	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG2892	1.0	11347.0	2000.0	191500.0	8.812902088657794e-05	0.010443864229765013	0.008438353749889839
COG1669	1.0	11347.0	1672.0	191500.0	8.812902088657794e-05	0.008731070496083551	0.01009372458120794
COG1958	1.0	11347.0	4455.0	191500.0	8.812902088657794e-05	0.023263707571801566	0.003788262065045943
COG0316	1.0	11347.0	96.0	191500.0	8.812902088657794e-05	0.0005013054830287206	0.1757990364560383
COG2092	1.0	11347.0	3998.0	191500.0	8.812902088657794e-05	0.02087728459530026	0.004221287518704271
COG2880	1.0	11347.0	376.0	191500.0	8.812902088657794e-05	0.0019634464751958226	0.04488486037175446
COG1534	1.0	11347.0	931.0	191500.0	8.812902088657794e-05	0.004861618798955613	0.018127505370332628
COG1965	1.0	11347.0	3.0	191500.0	8.812902088657794e-05	1.566579634464752e-05	5.625569166593226
COG5606	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG1343	1.0	11347.0	990.0	191500.0	8.812902088657794e-05	0.005169712793733681	0.017047179292706743
COG4272	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG0762	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG3269	1.0	11347.0	1805.0	191500.0	8.812902088657794e-05	0.009425587467362924	0.009349976454171566
COG4828	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG2456	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG3293	1.0	11347.0	1.0	191500.0	8.812902088657794e-05	5.221932114882507e-06	16.876707499779677
COG4980	1.0	11347.0	1.0	191500.0	8.812902088657794e-05	5.221932114882507e-06	16.876707499779677
COG0425	1.0	11347.0	2825.0	191500.0	8.812902088657794e-05	0.014751958224543081	0.005974055752134399
COG2337	1.0	11347.0	13.0	191500.0	8.812902088657794e-05	6.788511749347258e-05	1.2982082692138213
COG0185	1.0	11347.0	145.0	191500.0	8.812902088657794e-05	0.0007571801566579635	0.11639108620537707
COG4537	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG2919	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG2002	1.0	11347.0	2726.0	191500.0	8.812902088657794e-05	0.014234986945169713	0.00619101522369027
COG1598	1.0	11347.0	2444.0	191500.0	8.812902088657794e-05	0.012762402088772846	0.006905363134116071
COG2442	1.0	11347.0	1092.0	191500.0	8.812902088657794e-05	0.005702349869451697	0.015454860347783587
COG1369	1.0	11347.0	401.0	191500.0	8.812902088657794e-05	0.002093994778067885	0.042086552368527874
