accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
COG1942	21.0	11347	37.0	455582	0.001850709438618137	8.121479777515354e-05	22.787835336879137
COG4818	21.0	11347	907.0	455582	0.001850709438618137	0.0019908600427584935	0.9296029850766572
COG2053	20.0	11347	1.0	455582	0.001762580417731559	2.194994534463609e-06	802.9999118709791
COG2026	20.0	11347	338.0	455582	0.001762580417731559	0.0007419081526486999	2.375739384233666
COG1141	19.0	11347	645.0	455582	0.0016744513968449811	0.001415771474729028	1.1827130484921398
COG2888	17.0	11347	7.0	455582	0.0014981933550718251	1.5364961741245264e-05	97.50713215576175
COG0695	16.0	11347	498.0	455582	0.0014100643341852471	0.0010931072781628773	1.2899596977847054
COG2260	15.0	11347	5.0	455582	0.0013219353132986693	1.0974972672318046e-05	120.44998678064688
COG4042	15.0	11347	0.0	455582	0.0013219353132986693	0.0	inf
COG3478	14.0	11347	4.0	455582	0.0012338062924120913	8.779978137854436e-06	140.52498457742135
COG3350	14.0	11347	1766.0	455582	0.0012338062924120913	0.003876360347862734	0.31828988579257383
COG3432	13.0	11347	5.0	455582	0.0011456772715255133	1.0974972672318046e-05	104.38998854322729
COG3377	13.0	11347	23.0	455582	0.0011456772715255133	5.048487429266301e-05	22.6934757702668
COG5510	12.0	11347	8398.0	455582	0.0010575482506389353	0.01843356410042539	0.05737079627561174
COG2261	11.0	11347	47736.0	455582	0.0009694192297523574	0.10478025909715485	0.00925192625123677
COG2314	10.0	11347	460.0	455582	0.0008812902088657794	0.0010096974858532601	0.8728259911641078
COG1873	10.0	11347	33.0	455582	0.0008812902088657794	7.24348196372991e-05	12.166665331378471
COG1977	9.0	11347	882.0	455582	0.0007931611879792016	0.0019359851793969032	0.40969383258723424
COG4744	9.0	11347	108.0	455582	0.0007931611879792016	0.0002370594097220698	3.3458329661290795
COG1588	9.0	11347	0.0	455582	0.0007931611879792016	0.0	inf
COG1742	9.0	11347	158.0	455582	0.0007931611879792016	0.00034680913644525023	2.2870250654553206
COG1911	9.0	11347	5.0	455582	0.0007931611879792016	1.0974972672318046e-05	72.26999206838812
COG1753	8.0	11347	1.0	455582	0.0007050321670926236	2.194994534463609e-06	321.19996474839166
COG4035	7.0	11347	0.0	455582	0.0006169031462060457	0.0	inf
COG2104	7.0	11347	718.0	455582	0.0006169031462060457	0.0015760060757448713	0.391434497430143
COG1552	6.0	11347	4.0	455582	0.0005287741253194677	8.779978137854436e-06	60.224993390323434
COG3630	6.0	11347	2766.0	455582	0.0005287741253194677	0.006071354882326343	0.08709326592960727
COG1644	6.0	11347	14.0	455582	0.0005287741253194677	3.072992348249053e-05	17.207140968663836
COG5466	6.0	11347	96.0	455582	0.0005287741253194677	0.00021071947530850647	2.50937472459681
COG1278	6.0	11347	187.0	455582	0.0005287741253194677	0.0004104639779446949	1.288235152734191
COG1758	6.0	11347	12.0	455582	0.0005287741253194677	2.633993441356331e-05	20.07499779677448
COG0298	6.0	11347	67.0	455582	0.0005287741253194677	0.00014706463380906182	3.5955219934521447
COG3466	6.0	11347	0.0	455582	0.0005287741253194677	0.0	inf
COG2770	6.0	11347	816.0	455582	0.0005287741253194677	0.0017911155401223052	0.29522055583491874
COG4392	6.0	11347	1403.0	455582	0.0005287741253194677	0.0030795773318524435	0.17170347367162775
