accession	bac_trans_count	bac_trans_all	bac_not_trans_count	bac_not_trans_all	bac_trans_proportion	bac_not_trans_proportion	bac_trans_fold_change
COG1006	731.0	455582.0	0.0	4292445.0	0.0016045410046928983	0.0	inf
COG0254	730.0	455582.0	47771.0	4292445.0	0.0016023460101584348	0.011129088433282197	0.14397819010643534
COG2104	718.0	455582.0	60773.0	4292445.0	0.0015760060757448713	0.014158131321426367	0.11131455415728521
COG5569	682.0	455582.0	58.0	4292445.0	0.0014969862725041814	1.3512112560556979e-05	110.78846966343467
COG5591	670.0	455582.0	8.0	4292445.0	0.0014706463380906182	1.8637396635251005e-06	789.0835650881729
COG3042	658.0	455582.0	18.0	4292445.0	0.001444306403677055	4.193414242931476e-06	344.42254449619753
COG4836	652.0	455582.0	0.0	4292445.0	0.0014311364364702733	0.0	inf
COG1141	645.0	455582.0	42388.0	4292445.0	0.001415771474729028	0.009875024607187744	0.14336890600743707
COG4541	636.0	455582.0	8.0	4292445.0	0.0013960165239188555	1.8637396635251005e-06	749.040518501609
COG2929	621.0	455582.0	39164.0	4292445.0	0.0013630916059019012	0.00912393752278713	0.14939729721927245
COG5645	542.0	455582.0	69.0	4292445.0	0.0011896870376792762	1.607475459790399e-05	74.00965473117711
COG2501	541.0	455582.0	17179.0	4292445.0	0.0011874920431448127	0.004002147959962212	0.2967136785107827
COG3655	534.0	455582.0	101071.0	4292445.0	0.0011721270814035673	0.02354625394151818	0.04977976897364561
COG5547	518.0	455582.0	0.0	4292445.0	0.0011370071688521495	0.0	inf
COG4459	509.0	455582.0	0.0	4292445.0	0.001117252218041977	0.0	inf
COG4654	509.0	455582.0	309.0	4292445.0	0.001117252218041977	7.1986944503657e-05	15.52020613939545
COG0695	498.0	455582.0	62849.0	4292445.0	0.0010931072781628773	0.01464177176411113	0.0746567625676439
COG3838	496.0	455582.0	0.0	4292445.0	0.00108871728909395	0.0	inf
COG3668	495.0	455582.0	38779.0	4292445.0	0.0010865222945594865	0.009034245051479983	0.12026708245881522
COG3924	495.0	455582.0	0.0	4292445.0	0.0010865222945594865	0.0	inf
COG1440	467.0	455582.0	1393.0	4292445.0	0.0010250624475945055	0.00032452366891130814	3.15866775151816
COG0776	464.0	455582.0	84715.0	4292445.0	0.0010184774639911147	0.01973583819944111	0.05160548306582471
COG2314	460.0	455582.0	1.0	4292445.0	0.0010096974858532601	2.3296745794063757e-07	4334.070924663397
COG4323	438.0	455582.0	5.0	4292445.0	0.0009614076060950608	1.1648372897031878e-06	825.3578543489426
COG4680	435.0	455582.0	7538.0	4292445.0	0.00095482262249167	0.0017561086979565258	0.5437149896260621
COG2442	434.0	455582.0	45107.0	4292445.0	0.0009526276279572064	0.010508463125328339	0.09065337305710357
COG3776	428.0	455582.0	0.0	4292445.0	0.0009394576607504247	0.0	inf
COG1254	394.0	455582.0	37505.0	4292445.0	0.000864827846578662	0.008737444510063612	0.09897949515817477
COG3237	391.0	455582.0	44803.0	4292445.0	0.0008582428629752712	0.010437641018114384	0.08222575019449341
COG1930	387.0	455582.0	19.0	4292445.0	0.0008494628848374167	4.426381700872113e-06	191.9090901424182
COG2827	382.0	455582.0	40458.0	4292445.0	0.0008384879121650987	0.009425397413362315	0.08896048361593546
COG3771	373.0	455582.0	0.0	4292445.0	0.0008187329613549262	0.0	inf
COG0267	373.0	455582.0	28990.0	4292445.0	0.0008187329613549262	0.006753726605699083	0.12122684395664526
COG2906	364.0	455582.0	11060.0	4292445.0	0.0007989780105447538	0.0025766200848234516	0.3100876280716795
COG2336	364.0	455582.0	20761.0	4292445.0	0.0007989780105447538	0.0048366373943055764	0.16519286963406268
COG2026	338.0	455582.0	56791.0	4292445.0	0.0007419081526486999	0.013230454903906747	0.05607578560504567
COG4537	321.0	455582.0	11.0	4292445.0	0.0007045932455628186	2.562642037347013e-06	274.94797763180844
