Tool,Length,identity,e-value,Sensitivity,Rescue,Identity
Diamond,80,0.5,0.001,sensitive,9759,0.6
Diamond,80,0.4,0.001,sensitive,7498,0.7
Diamond,80,0.3,0.001,sensitive,401,0.8
Diamond,80,0.2,0.001,sensitive,0,0.9
Diamond,80,0.1,0.001,sensitive,0,1
MMseqs,80,1,0.001,5.7,9998,0.1
MMseqs,80,0.9,0.001,5.7,9997,0.2
MMseqs,80,0.8,0.001,5.7,9997,0.3
MMseqs,80,0.7,0.001,5.7,9993,0.4
MMseqs,80,0.6,0.001,5.7,9983,0.5
MMseqs,80,0.5,0.001,5.7,9777,0.6
MMseqs,80,0.4,0.001,5.7,6471,0.7
MMseqs,80,0.3,0.001,5.7,115,0.8
MMseqs,80,0.2,0.001,5.7,0,0.9
MMseqs,80,0.1,0.001,5.7,0,1
Diamond,60,1,0.001,sensitive,9986,0.1
Diamond,60,0.9,0.001,sensitive,9966,0.2
Diamond,60,0.8,0.001,sensitive,9948,0.3
Diamond,60,0.7,0.001,sensitive,9916,0.4
Diamond,60,0.6,0.001,sensitive,9855,0.5
Diamond,60,0.5,0.001,sensitive,9231,0.6
Diamond,60,0.4,0.001,sensitive,2737,0.7
Diamond,60,0.3,0.001,sensitive,12,0.8
Diamond,60,0.2,0.001,sensitive,0,0.9
Diamond,60,0.1,0.001,sensitive,0,1
MMseqs,60,1,0.001,5.7,9996,0.1
MMseqs,60,0.9,0.001,5.7,9995,0.2
MMseqs,60,0.8,0.001,5.7,9993,0.3
MMseqs,60,0.7,0.001,5.7,9986,0.4
MMseqs,60,0.6,0.001,5.7,9934,0.5
MMseqs,60,0.5,0.001,5.7,9015,0.6
MMseqs,60,0.4,0.001,5.7,1407,0.7
MMseqs,60,0.3,0.001,5.7,2,0.8
MMseqs,60,0.2,0.001,5.7,0,0.9
MMseqs,60,0.1,0.001,5.7,0,1
Diamond,40,1,0.001,sensitive,9963,0.1
Diamond,40,0.9,0.001,sensitive,9645,0.2
Diamond,40,0.8,0.001,sensitive,9650,0.3
Diamond,40,0.7,0.001,sensitive,9671,0.4
Diamond,40,0.6,0.001,sensitive,8776,0.5
Diamond,40,0.5,0.001,sensitive,1850,0.6
Diamond,40,0.4,0.001,sensitive,15,0.7
Diamond,40,0.3,0.001,sensitive,0,0.8
Diamond,40,0.2,0.001,sensitive,0,0.9
Diamond,40,0.1,0.001,sensitive,0,1
MMseqs,40,1,0.001,5.7,9985,0.1
MMseqs,40,0.9,0.001,5.7,9982,0.2
MMseqs,40,0.8,0.001,5.7,9970,0.3
MMseqs,40,0.7,0.001,5.7,9912,0.4
MMseqs,40,0.6,0.001,5.7,7533,0.5
MMseqs,40,0.5,0.001,5.7,634,0.6
MMseqs,40,0.4,0.001,5.7,3,0.7
MMseqs,40,0.3,0.001,5.7,0,0.8
MMseqs,40,0.2,0.001,5.7,0,0.9
MMseqs,40,0.1,0.001,5.7,0,1
Diamond,30,1,0.001,sensitive,9837,0.1
Diamond,30,0.9,0.001,sensitive,9495,0.2
Diamond,30,0.8,0.001,sensitive,9370,0.3
Diamond,30,0.7,0.001,sensitive,7074,0.4
Diamond,30,0.6,0.001,sensitive,1135,0.5
Diamond,30,0.5,0.001,sensitive,16,0.6
Diamond,30,0.4,0.001,sensitive,0,0.7
Diamond,30,0.3,0.001,sensitive,0,0.8
